max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.8,0.6,10,1.0,1,0.41603,0.68975,0.37856
2,300,0.05,0.8,0.8,10,0.5,5,0.41775,0.68978,0.37044
2,300,0.05,0.8,0.6,5,1.0,5,0.42442,0.6898,0.35903
2,300,0.05,0.8,0.7,20,0.0,5,0.42518,0.6898,0.35458
2,200,0.1,0.8,0.6,20,0.5,5,0.40371,0.68981,0.34327
2,300,0.1,0.7,0.8,20,1.0,5,0.36702,0.68981,0.36516
2,200,0.05,0.7,0.7,10,0.0,1,0.44598,0.68985,0.37683
3,300,0.1,0.6,0.7,20,0.0,10,0.28239,0.68985,0.39614
2,300,0.1,0.8,0.8,20,0.0,5,0.34726,0.68989,0.40372
2,200,0.1,0.8,0.7,20,1.0,10,0.41813,0.68995,0.35083
3,200,0.05,0.7,0.6,5,1.0,5,0.37433,0.68995,0.39209
3,200,0.05,0.6,0.8,10,0.5,10,0.3981,0.68997,0.36121
2,300,0.05,0.8,0.8,20,1.0,10,0.4431,0.68998,0.3687
2,200,0.1,0.8,0.7,5,0.5,5,0.38125,0.69001,0.38041
2,300,0.1,0.8,0.7,5,0.5,5,0.33462,0.69002,0.38595
2,300,0.05,0.8,0.6,5,0.0,5,0.41152,0.69004,0.363
2,300,0.05,0.8,0.8,10,0.5,1,0.40451,0.69006,0.38119
2,300,0.1,0.6,0.8,20,0.0,1,0.35111,0.69006,0.39383
2,200,0.05,0.7,0.7,20,0.5,5,0.47599,0.6901,0.37533
2,300,0.05,0.6,0.7,5,1.0,10,0.4383,0.69012,0.33968
3,200,0.05,0.7,0.6,10,0.0,10,0.38818,0.69018,0.39327
2,200,0.1,0.8,0.7,20,0.0,1,0.38994,0.69023,0.34701
3,300,0.05,0.7,0.6,10,0.0,5,0.31316,0.69028,0.42229
2,100,0.1,0.6,0.8,10,0.0,5,0.45874,0.69029,0.33567
2,300,0.1,0.8,0.8,10,0.5,10,0.35381,0.69029,0.37402
3,300,0.05,0.7,0.7,20,1.0,10,0.38043,0.69029,0.36901
2,300,0.05,0.6,0.6,10,0.5,1,0.41465,0.69035,0.35259
2,200,0.1,0.6,0.8,5,0.5,1,0.36493,0.69036,0.36648
2,300,0.05,0.6,0.6,20,0.5,1,0.43959,0.69038,0.34973
2,300,0.05,0.7,0.7,20,0.0,1,0.42359,0.69044,0.3709
3,300,0.05,0.6,0.7,10,0.5,10,0.34859,0.69048,0.3476
