n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,4,0.05,0.7,0.85,5,0.0,0.6534515822341421,0.5080818650703804
300,6,0.05,1.0,0.7,5,0.0,0.6537506473083082,0.5738646151284256
300,6,0.05,0.7,0.7,1,1.0,0.6537841706116495,0.5187683066025346
300,4,0.05,0.85,0.85,5,0.0,0.6542151325400996,0.5766502820465267
300,5,0.1,0.7,0.85,3,0.1,0.6543170468617991,0.47059732241895996
300,6,0.05,1.0,0.7,5,1.0,0.6544112042817507,0.5672586248619187
500,6,0.05,1.0,0.7,5,1.0,0.6544112042817507,0.5672586248619187
300,4,0.1,1.0,1.0,3,1.0,0.6544136603384895,0.6184049066708837
500,4,0.1,1.0,1.0,3,1.0,0.6544136603384895,0.6184049066708837
500,5,0.1,0.7,0.85,3,0.1,0.6544934960029007,0.47078587649829623
300,6,0.1,0.7,1.0,1,1.0,0.6546221482545765,0.559783958487644
300,4,0.05,0.7,0.85,3,1.0,0.6546256342674195,0.538843888281225
300,6,0.05,1.0,1.0,3,1.0,0.6546417510989814,0.5439679879589117
500,6,0.05,1.0,1.0,3,1.0,0.6546417510989814,0.5439679879589117
300,5,0.1,0.85,0.85,1,0.0,0.6546484659924819,0.535310031684982
300,4,0.1,0.85,0.85,3,0.0,0.654653122766868,0.5355190492682171
300,4,0.1,0.85,0.85,1,0.0,0.6547893175010445,0.5499330682788249
300,4,0.05,0.85,0.7,5,1.0,0.6548244384506225,0.5864979851185134
500,4,0.1,0.7,0.85,5,1.0,0.6549584883717426,0.5272679423659886
300,4,0.05,0.85,1.0,3,1.0,0.6549629236303571,0.5989469627474298
300,4,0.05,0.7,1.0,3,0.0,0.6550069027125082,0.5325266416245138
500,4,0.05,0.7,0.7,5,0.0,0.6550102663181431,0.5796921096314329
500,5,0.05,0.7,0.7,3,1.0,0.655066889916057,0.557290421297021
300,6,0.05,0.7,0.85,5,0.1,0.6550796174302352,0.5175670234742508
500,5,0.1,0.85,0.85,1,0.0,0.6551222102711435,0.5348751550856006
500,6,0.05,0.7,0.85,5,0.1,0.655123857264073,0.5196464735954934
300,4,0.05,0.85,1.0,1,1.0,0.6551366641084679,0.5720756008060761
300,4,0.05,0.7,0.7,3,1.0,0.6558139528086531,0.5822943560470323
300,5,0.1,0.85,1.0,5,0.1,0.6558977088857497,0.5584266380449874
500,5,0.05,0.7,1.0,3,0.0,0.655924727386707,0.5389710471875917
300,5,0.05,0.7,0.7,3,1.0,0.6559295054257273,0.5562810436594965
500,5,0.1,0.85,1.0,3,1.0,0.6559299458961375,0.6187813768399884
300,5,0.1,0.7,0.85,5,0.1,0.6559983528752035,0.527531654826919
300,4,0.05,0.7,0.85,5,0.1,0.6560661981861485,0.5262714779587684
300,5,0.1,0.85,1.0,3,1.0,0.6560890822025573,0.6182907253466862
500,4,0.05,0.7,0.85,3,1.0,0.6562644121231758,0.5501651867052253
300,4,0.1,0.7,0.85,5,1.0,0.6563534683516239,0.5230592586308566
500,4,0.05,0.7,0.85,5,0.1,0.6563930749508139,0.5289390798110164
500,5,0.1,0.85,1.0,5,0.1,0.6564961209623827,0.5583745958569758
500,6,0.05,0.85,0.85,1,1.0,0.6565908595557953,0.5626026366322563
500,4,0.05,0.7,1.0,5,0.0,0.6566021153647813,0.5367994414375308
300,5,0.05,0.7,1.0,3,1.0,0.6566999288751407,0.5544712775853389
300,5,0.1,0.85,0.7,5,0.0,0.6567050463446246,0.5122700305590173
500,5,0.1,0.7,0.85,5,0.1,0.6567421949766574,0.5282093005392556
300,5,0.05,0.85,0.7,3,0.0,0.6568074073540523,0.5522060520912777
500,4,0.05,0.7,0.7,1,1.0,0.6568412921540607,0.6066189254489959
300,5,0.05,1.0,0.7,3,0.1,0.6568724776161635,0.5329285529524792
500,6,0.05,0.85,0.85,5,0.0,0.6570490342342791,0.5293406729010194
300,6,0.05,0.85,0.85,1,1.0,0.6572557265214483,0.562668481873678
500,5,0.05,1.0,0.7,3,0.1,0.6572789393360107,0.5323238291975613
300,6,0.1,0.85,1.0,5,1.0,0.6572915957970005,0.5296806632081776
500,5,0.1,0.85,0.7,5,0.0,0.6573802003569132,0.5116015727968595
