n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,6,0.05,0.85,0.85,5,0.0,0.6104131852515969,0.5679227332911753
300,5,0.05,1.0,0.7,5,0.1,0.6107536995434025,0.5690909220878656
500,6,0.05,0.85,1.0,5,0.0,0.6109337139332434,0.5964320421185463
500,4,0.05,0.85,1.0,5,0.1,0.6112608437951775,0.5669490245264713
500,4,0.1,0.85,0.85,1,0.0,0.611270508611219,0.5767848202760867
300,4,0.05,0.7,0.7,5,0.1,0.6113447386972077,0.5868091540001178
500,4,0.1,1.0,1.0,3,0.0,0.6113677930934587,0.5427080376266233
500,4,0.1,0.85,0.7,3,0.0,0.6113865626813991,0.46201792335299857
500,4,0.1,0.85,0.7,3,0.1,0.6116235876859376,0.511831910948099
300,4,0.05,1.0,0.85,3,1.0,0.6116586820048571,0.5862634589881012
500,4,0.05,0.85,0.7,1,0.1,0.6117674713286188,0.5662826367807041
500,6,0.05,0.7,0.85,3,1.0,0.6117931385354656,0.6048116541222042
300,6,0.05,0.7,0.85,5,0.1,0.6118079879134396,0.5808360895562842
300,6,0.05,0.85,1.0,3,1.0,0.6118211662151012,0.551219734169923
300,4,0.1,1.0,0.7,3,0.0,0.6121556278285505,0.6137704912423367
500,4,0.1,0.85,0.7,1,0.1,0.6122849128785467,0.5028984573909309
300,6,0.1,0.85,0.7,1,0.1,0.6123723731432295,0.5485076995114577
500,4,0.05,0.85,1.0,3,0.0,0.6123854893672067,0.5664380000864776
300,4,0.05,0.85,1.0,3,0.1,0.6125303673033989,0.5614804326271293
500,6,0.1,0.85,0.7,1,0.1,0.6125597353204547,0.548219787007554
300,5,0.05,0.85,1.0,5,0.1,0.6128253283959301,0.5700531694828608
500,5,0.05,1.0,0.7,5,0.1,0.6129073720001849,0.564568931123084
300,4,0.1,0.85,0.7,1,0.1,0.6129509072065954,0.5069414888911714
500,4,0.1,0.7,0.7,1,1.0,0.6129860453093801,0.5959401793996224
300,5,0.05,1.0,0.7,3,1.0,0.6130212243233275,0.5891134573141935
500,5,0.05,1.0,0.7,3,1.0,0.6130212243233275,0.5891134573141935
300,4,0.05,1.0,1.0,5,0.0,0.6133208548225995,0.5749120770161106
500,5,0.05,0.85,1.0,5,0.1,0.6133680879443337,0.5695469302606708
300,5,0.05,0.85,0.7,5,0.1,0.6134177198361274,0.5518502423590153
300,4,0.05,0.85,0.85,5,0.0,0.6136157671970536,0.5753368006624682
500,6,0.05,0.7,0.85,5,0.1,0.6136242174555573,0.5791587898980879
300,6,0.05,0.7,0.7,1,1.0,0.6136365763813011,0.522103412206781
300,5,0.05,0.7,0.85,3,1.0,0.6138549324650282,0.5700901460455675
300,6,0.1,0.85,0.85,3,1.0,0.6139155456606208,0.5292184868335971
500,5,0.05,0.85,1.0,1,1.0,0.6142966803590468,0.5926000192387356
500,6,0.05,0.85,1.0,3,1.0,0.614312403967406,0.5503998613153133
300,4,0.1,0.85,0.85,5,1.0,0.6143133551705663,0.6381062659235965
300,6,0.05,0.7,0.85,5,1.0,0.6144983404839052,0.5948830794066602
300,5,0.05,0.85,0.7,5,1.0,0.6145577671970237,0.5807049130081293
500,6,0.1,0.85,0.85,3,1.0,0.6145979502295349,0.5289712841873944
500,4,0.1,1.0,0.7,3,0.0,0.6146680875542989,0.6098739344790494
300,4,0.1,0.85,0.85,5,0.1,0.6150480457362503,0.6126587329475709
300,5,0.1,0.85,0.85,5,1.0,0.6151993282902156,0.5823000848580847
300,5,0.05,0.85,0.85,5,0.1,0.6152028120800693,0.5862888740666379
500,5,0.05,0.85,0.7,5,0.1,0.6153042855048853,0.5482415835633753
500,4,0.05,1.0,0.7,1,0.1,0.615376243172728,0.5855486895214892
300,5,0.05,1.0,0.7,1,0.1,0.6154146942501345,0.5707478101451096
300,6,0.1,0.7,0.7,1,0.1,0.6154618518322492,0.5216931574411318
300,4,0.05,1.0,0.7,1,0.1,0.615638464821587,0.5892230014269813
300,4,0.05,0.85,0.85,5,0.1,0.6157235666872257,0.5986987820363077
500,4,0.05,1.0,0.85,3,1.0,0.6157383248261474,0.5792339955986607
500,6,0.1,0.7,0.7,1,0.1,0.6158045723612087,0.5216558796883976
