max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,200,0.05,0.8,0.7,20,0.5,10,0.4408188873803407,0.6246562965700121,0.5664739524513401
2,200,0.05,0.6,0.6,10,0.5,1,0.41578408527939825,0.6247247120510575,0.5732694858256886
3,100,0.05,0.6,0.6,5,0.5,5,0.4085833948096171,0.6249166890141206,0.5903184612531506
2,200,0.05,0.6,0.6,5,0.0,5,0.4191856258663844,0.625013287333009,0.5795834099272265
2,200,0.05,0.6,0.7,10,0.0,10,0.4333371064494116,0.6251136914204922,0.5690744147629452
2,300,0.05,0.6,0.7,20,0.5,1,0.3884660353520604,0.6252183813119307,0.5464573036787039
2,100,0.05,0.6,0.6,5,0.0,5,0.48952992805575385,0.6252751114924087,0.5703083882031815
2,100,0.05,0.6,0.6,5,1.0,5,0.4965895906131962,0.6252918975777227,0.5614770638361012
2,100,0.05,0.6,0.6,5,1.0,1,0.4849267005960343,0.6253083191081475,0.5597685787233616
2,200,0.05,0.6,0.7,10,0.0,1,0.4052826371614492,0.6255676478933332,0.5815427590809558
2,200,0.1,0.8,0.6,20,0.0,5,0.35494165292360763,0.6256503309051822,0.570315052876922
3,100,0.1,0.7,0.8,10,0.5,5,0.3020550589966296,0.6258090929619484,0.6061320695107761
3,300,0.05,0.8,0.7,10,0.5,10,0.27423017369164215,0.6258878423590655,0.5970618304734179
3,200,0.05,0.6,0.6,10,1.0,10,0.36020812744089536,0.625947873526828,0.5808602047434519
2,300,0.05,0.6,0.6,5,0.5,5,0.376940083327564,0.6259779946183014,0.5657883880801672
2,300,0.05,0.8,0.7,20,0.5,10,0.40023808807380334,0.6260590707661519,0.5621332283905933
3,300,0.1,0.8,0.6,20,1.0,1,0.193665670826286,0.6261037910779934,0.6030977087078386
3,300,0.05,0.6,0.6,20,0.5,5,0.31008048601388205,0.6261053965518816,0.5932425020733755
2,200,0.1,0.8,0.6,20,0.5,1,0.35167915413104417,0.626144443583832,0.5516558387419155
2,300,0.1,0.6,0.7,20,1.0,5,0.33152580204270954,0.6262159314924161,0.5440067634708624
3,200,0.1,0.8,0.6,5,0.0,1,0.17085277229695398,0.6262565409959441,0.5526713830571635
2,300,0.1,0.8,0.7,5,0.0,1,0.2523758421437203,0.6263068188851262,0.6184196553053787
2,300,0.05,0.7,0.8,20,0.0,5,0.3794068849960968,0.6265324460695163,0.545564754766592
2,200,0.1,0.7,0.6,20,0.5,10,0.37703599521624864,0.6266798164641054,0.5474405954788202
2,200,0.1,0.8,0.8,5,1.0,5,0.34087253622762204,0.6266915518558995,0.5645837903789486
2,200,0.1,0.8,0.8,20,1.0,1,0.3529788860462664,0.6266969357199177,0.5554571764008165
2,300,0.1,0.6,0.6,10,1.0,5,0.3110938896124739,0.6266989981568706,0.5728818454380206
2,300,0.05,0.7,0.8,20,0.5,5,0.3874347486919402,0.6266991071438424,0.5332335952365214
2,300,0.05,0.8,0.6,10,1.0,1,0.3746848456812584,0.6267327619316015,0.5938328113097684
3,300,0.05,0.6,0.6,20,0.0,5,0.3008727569736151,0.626794782549518,0.5776963015495473
3,200,0.05,0.7,0.7,10,0.0,1,0.2873632920350651,0.626835836549715,0.5665135331320154
2,300,0.05,0.6,0.6,5,1.0,1,0.3709891964713664,0.6268789494242887,0.568462276775399
3,200,0.05,0.7,0.7,10,1.0,1,0.30451221453669675,0.6268878677048488,0.6007503997958173
2,200,0.05,0.6,0.7,10,0.5,10,0.43842916002071164,0.627020106866124,0.5681323230158147
2,300,0.1,0.8,0.6,20,0.0,5,0.3026754230038523,0.6270264719194427,0.5883638090368566
2,300,0.05,0.6,0.6,10,1.0,5,0.39066672888287024,0.6270974685321425,0.5542731051530643
3,300,0.05,0.8,0.8,10,1.0,1,0.24257161386388668,0.6271043700044108,0.607116815056119
2,100,0.05,0.6,0.6,10,1.0,1,0.4890740308145872,0.6271581021037756,0.5652811539518704
2,200,0.1,0.8,0.8,20,1.0,5,0.36236953474371836,0.6272795541283027,0.5702666718735269
2,300,0.1,0.8,0.8,10,0.5,10,0.3023760154137301,0.6272809629309875,0.5587918653972075
3,200,0.05,0.6,0.6,10,0.5,10,0.3488149707550949,0.6272852599693672,0.5754216628522953
3,200,0.1,0.6,0.6,5,1.0,1,0.21605987203605745,0.6273931458837226,0.5537054846680157
